PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_XLOGP3_AA,PUBCHEM_CACTVS_TPSA,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_HEAVY_ATOM_COUNT,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_EXACT_MASS
498.6,3.1,134.0,2.0,9.0,8.0,35.0,829.0,498.21615802
273.29,1.1,68.5,0.0,5.0,3.0,20.0,360.0,273.11134135
339.5,,74.0,1.0,4.0,8.0,24.0,418.0,339.17691898
227.3,0.8,45.1,0.0,3.0,5.0,16.0,294.0,227.16337692
404.5,3.5,93.3,1.0,5.0,5.0,29.0,641.0,404.13069707
605.8,3.6,133.0,0.0,9.0,10.0,43.0,1080.0,605.27842392
241.33,2.3,43.8,1.0,2.0,1.0,18.0,293.0,241.157897619
241.19,1.4,66.4,2.0,5.0,4.0,17.0,333.0,241.05504947
532.5,3.8,160.0,4.0,9.0,10.0,39.0,922.0,532.14818035
248.3,2.8,66.6,2.0,4.0,4.0,17.0,312.0,248.0619488
226.3,1.3,80.6,2.0,4.0,1.0,15.0,323.0,226.07759887
372.5,1.5,106.0,0.0,7.0,6.0,26.0,454.0,372.18446397
250.34,,27.8,2.0,1.0,4.0,19.0,272.0,250.146998583
608.8,9.2,91.2,0.0,4.0,9.0,44.0,783.0,608.15922049
314.4,2.1,118.0,2.0,6.0,3.0,22.0,411.0,314.08374688
630.6,3.8,125.0,1.0,10.0,7.0,46.0,1150.0,630.22134529
417.5,4.2,66.8,1.0,4.0,10.0,31.0,554.0,417.19400834
325.4,4.6,41.5,2.0,3.0,5.0,24.0,391.0,325.204179104
492.6,5.2,80.2,2.0,6.0,8.0,37.0,780.0,492.26375967
599.7,,110.0,0.0,8.0,8.0,43.0,990.0,599.21595272
301.36,1.0,104.0,1.0,6.0,7.0,20.0,392.0,301.10962727
463.6,4.5,116.0,1.0,7.0,8.0,33.0,637.0,463.16781085
338.5,0.4,173.0,2.0,8.0,6.0,19.0,437.0,337.98872701
415.5,3.6,62.2,0.0,4.0,7.0,31.0,679.0,415.18959167
261.29,2.5,34.4,1.0,4.0,3.0,19.0,302.0,261.11650692
